num,store,address,review,score,
255,신촌초등학교,제주특별자치도 제주시 조천읍 신북로 51,3,5,
256,조천중학교,제주특별자치도 제주시 조천읍 신북로 31,0,0,
257,신촌초등학교병설유치원,제주특별자치도 제주시 조천읍 신북로 51,0,0,
258,효돈중학교,제주특별자치도 서귀포시 효돈로 207,1,3,
259,하례초등학교,제주특별자치도 서귀포시 남원읍 일주동로 8002,0,0,
260,신례초등학교,제주특별자치도 서귀포시 남원읍 중산간동로 7116,0,0,
261,신례초등학교 병설유치원,제주특별자치도 서귀포시 남원읍 중산간동로 7116,0,0,
262,조천초등학교,제주특별자치도 제주시 조천읍 신북로 195,0,0,
263,조천초등학교 병설유치원,제주특별자치도 제주시 조천읍 신북로 195,0,0,
264,위미초등학교,제주특별자치도 서귀포시 남원읍 태위로 57,3,0,
265,위미초등학교병설유치원,제주특별자치도 서귀포시 남원읍 태위로 57,0,0,
266,대흘초등학교,제주특별자치도 제주시 조천읍 중산간동로 677,4,3,
267,대흘초등학교 병설유치원,제주특별자치도 제주시 조천읍 중산간동로 677,0,0,
268,함덕고등학교,제주특별자치도 제주시 조천읍 신흥로 9,0,0,
269,위미중학교,제주특별자치도 서귀포시 남원읍 위미상원북로 34,1,0,
270,조천초등학교 교래분교장,제주특별자치도 제주시 조천읍 비자림로 672,0,0,
271,함덕초등학교,제주특별자치도 제주시 조천읍 일주동로 1231,2,3,
272,함덕중학교,제주특별자치도 제주시 조천읍 일주동로 1234,3,5,
273,함덕초등학교 병설유치원,제주특별자치도 제주시 조천읍 일주동로 1231,0,0,
274,북촌초등학교,제주특별자치도 제주시 조천읍 일주동로 1481,2,0,
275,북촌초등학교 병설유치원,제주특별자치도 제주시 조천읍 일주동로 1481,0,0,
276,함덕초등학교 선인분교장,제주특별자치도 제주시 조천읍 선진길 7-18,0,5,
277,선흘초등학교,제주특별자치도 제주시 조천읍 선흘동1길 41,3,0,
278,볍씨학교,제주특별자치도 제주시 조천읍 선흘동1길 35-7,0,5,
279,열방대학 제주캠퍼스,제주특별자치도 제주시 조천읍 북흘로 135,3,5,
280,남원초등학교,제주특별자치도 서귀포시 남원읍 태위로 647,2,0,
281,남원중학교,제주특별자치도 서귀포시 남원읍 남한로 36,0,5,
282,의귀초등학교,제주특별자치도 서귀포시 남원읍 한신로 213,1,0,
283,의귀초등학교 병설유치원,제주특별자치도 서귀포시 남원읍 한신로 213,0,0,
284,김녕초등학교 동복분교장,제주특별자치도 제주시 구좌읍 동복로 66-5,1,3,
285,김녕초등학교병설동복분교장유치원,제주특별자치도 제주시 구좌읍 동복로 66-5,0,0,
286,태흥초등학교,제주특별자치도 서귀포시 남원읍 태위로 915,1,5,
287,태흥초등학교 병설유치원,제주특별자치도 서귀포시 남원읍 태위로 915,0,0,
288,김녕초등학교,제주특별자치도 제주시 구좌읍 김녕로 117,1,0,
289,김녕중학교,제주특별자치도 제주시 구좌읍 김녕로 118-20,1,0,
290,흥산초등학교,제주특별자치도 서귀포시 남원읍 일주동로 6642,0,0,
291,흥산초등학교병설유치원,제주특별자치도 서귀포시 남원읍 일주동로 6642,0,0,
292,토산초등학교,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,1,0,
